question,answer
"Fate prodotti per la dieta senza glutine e senza additivi e senza coloranti e senza conservanti e senza emulsionanti e senza dolcificanti?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, coloranti, conservanti, emulsionanti e dolcificanti artificiali."
"Posso ordinare prodotti per un evento di tecnologia?","Per eventi tecnologici, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti né antiossidanti artificiali."
"Avete prodotti per la colazione con cereali e burro di mandorle?","Non utilizziamo burro di mandorle. I nostri prodotti sono privi di frutta a guscio."
"Come posso segnalare un problema di corruzione?","Utilizza il canale di whistleblowing o scrivi a compliance@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi e senza conservanti e senza coloranti?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi, conservanti e coloranti artificiali. Controlla l'etichetta."
"Posso ottenere un report sulla diversità dei fornitori?","Il report di sostenibilità include dati sulla diversità dei fornitori. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti?","Sì, molti prodotti sono privi di additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti e antiossidanti artificiali."
"Avete prodotti per la merenda con pollo?","No, i nostri prodotti non contengono pollo."
"Come posso fare una richiesta di collaborazione per un videogioco?","Per videogiochi, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti e senza antiossidanti?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti, dolcificanti e antiossidanti artificiali."
"Posso ordinare prodotti per un evento di scienza?","Per eventi scientifici, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti, antiossidanti né grassi idrogenati."
"Avete prodotti per la colazione con cereali e burro di cocco?","Non utilizziamo burro di cocco. Usiamo oli di girasole e oliva."
"Come posso segnalare un problema di greenwashing?","Scrivi a sostenibilità@moratogroup.com. Siamo trasparenti sulle nostre azioni ambientali."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi e senza conservanti e senza coloranti e senza emulsionanti?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi, conservanti, coloranti ed emulsionanti artificiali. Controlla l'etichetta."
"Posso ottenere un report sull'innovazione sostenibile?","Il report di sostenibilità include informazioni sull'innovazione sostenibile. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio?","Sì, non usiamo additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti, antiossidanti, grassi idrogenati né sciroppo di glucosio."
"Avete prodotti per la merenda con manzo?","No, i nostri prodotti non contengono manzo."
"Come posso fare una richiesta di collaborazione per un cartone animato?","Per cartoni animati, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti, dolcificanti, antiossidanti e grassi idrogenati."
"Posso ordinare prodotti per un evento di letteratura?","Per eventi letterari, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio né olio di palma."
"Avete prodotti per la colazione con cereali e burro di sesamo?","Non utilizziamo burro di sesamo. I nostri prodotti possono contenere sesamo come allergene."
"Come posso segnalare un problema di diritti delle comunità locali?","Scrivi a sostenibilità@moratogroup.com. Rispettiamo le comunità locali."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi e senza conservanti e senza coloranti e senza emulsionanti e senza dolcificanti?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi, conservanti, coloranti, emulsionanti e dolcificanti artificiali. Controlla l'etichetta."
"Posso ottenere un report sulla trasparenza della catena di fornitura?","Il report di sostenibilità include informazioni sulla trasparenza della catena di fornitura. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato?","Sì, non usiamo additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma né amido modificato."
"Avete prodotti per la merenda con agnello?","No, i nostri prodotti non contengono agnello."
"Come posso fare una richiesta di collaborazione per un film?","Per film, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti, dolcificanti, antiossidanti, grassi idrogenati e sciroppo di glucosio."
"Posso ordinare prodotti per un evento di filosofia?","Per eventi filosofici, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato né gelatina."
"Avete prodotti per la colazione con cereali e burro di anacardi?","Non utilizziamo burro di anacardi. I nostri prodotti sono privi di frutta a guscio."
"Come posso segnalare un problema di benessere animale?","Non utilizziamo ingredienti animali, quindi il benessere animale non è applicabile. Tutti i prodotti sono vegetali."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi e senza conservanti e senza coloranti e senza emulsionanti e senza dolcificanti e senza antiossidanti?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi, conservanti, coloranti, emulsionanti, dolcificanti e antiossidanti artificiali. Controlla l'etichetta."
"Posso ottenere un report sull'eticità aziendale?","Il report di sostenibilità include informazioni sull'eticità aziendale. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali?","Sì, non usiamo additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina né conservanti naturali."
"Avete prodotti per la merenda con coniglio?","No, i nostri prodotti non contengono coniglio."
"Come posso fare una richiesta di collaborazione per una serie web?","Per serie web, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio e olio di palma."
"Posso ordinare prodotti per un evento di storia?","Per eventi storici, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali né additivi naturali."
"Avete prodotti per la colazione con cereali e burro di noci?","Non utilizziamo burro di noci. I nostri prodotti sono privi di frutta a guscio."
"Come posso segnalare un problema di diritti dei consumatori?","Scrivi a compliance@moratogroup.com. Rispettiamo i diritti dei consumatori."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi e senza conservanti e senza coloranti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi, conservanti, coloranti, emulsionanti, dolcificanti, antiossidanti e grassi idrogenati artificiali. Controlla l'etichetta."
"Posso ottenere un report sulla responsabilità sociale d'impresa?","Il report di sostenibilità è il nostro strumento di responsabilità sociale. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali?","Sì, non usiamo additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali né coloranti naturali."
"Avete prodotti per la merenda con cervo?","No, i nostri prodotti non contengono cervo."
"Come posso fare una richiesta di collaborazione per un reality show?","Per reality show, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma e amido modificato."
"Posso ordinare prodotti per un evento di geografia?","Per eventi geografici, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali né aromi naturali."
